Consumer.Time,Kafka.Time,Kafka.Offset,Data.Timestamp,Data.Measurement
1603136346456,1603136346336,0,1603136346318,0.31901553
1603136346463,1603136346429,1,1603136346429,0.08052405
1603136346463,1603136346429,2,1603136346429,0.087702595
1603136346463,1603136346430,3,1603136346430,0.19544987
1603136346463,1603136346430,4,1603136346430,0.77333224
1603136346463,1603136346430,5,1603136346430,0.6434107
1603136346463,1603136346430,6,1603136346430,0.90600187
1603136346463,1603136346430,7,1603136346430,0.47518316
1603136346463,1603136346430,8,1603136346430,0.12878619
1603136346463,1603136346430,9,1603136346430,0.4981456
1603136346463,1603136346430,10,1603136346430,0.9505395
1603136346463,1603136346430,11,1603136346430,0.15706824
1603136346463,1603136346430,12,1603136346430,0.57428867
1603136346463,1603136346430,13,1603136346430,0.9564
1603136346463,1603136346430,14,1603136346430,0.65604
1603136346463,1603136346430,15,1603136346430,0.030822376
1603136346463,1603136346430,16,1603136346430,0.5406015
1603136346463,1603136346431,17,1603136346430,0.05461793
1603136346463,1603136346431,18,1603136346431,0.28024063
1603136346463,1603136346431,19,1603136346431,0.0020267263
1603136346463,1603136346431,20,1603136346431,0.8821393
1603136346463,1603136346431,21,1603136346431,0.7452886
1603136346463,1603136346431,22,1603136346431,0.83076954
1603136346463,1603136346431,23,1603136346431,0.9101457
1603136346463,1603136346431,24,1603136346431,0.08622407
1603136346463,1603136346431,25,1603136346431,0.2465058
1603136346463,1603136346431,26,1603136346431,0.82954943
1603136346463,1603136346431,27,1603136346431,0.3516515
1603136346463,1603136346431,28,1603136346431,0.087213114
1603136346463,1603136346431,29,1603136346431,0.38236585
1603136346463,1603136346431,30,1603136346431,0.6606065
1603136346463,1603136346431,31,1603136346431,0.27879164
1603136346463,1603136346431,32,1603136346431,0.17015262
1603136346463,1603136346431,33,1603136346431,0.50554276
1603136346463,1603136346431,34,1603136346431,0.42001712
1603136346463,1603136346431,35,1603136346431,0.7939529
1603136346463,1603136346436,36,1603136346436,0.13708073
1603136346463,1603136346441,37,1603136346441,0.38341853
1603136346463,1603136346446,38,1603136346446,0.6408241
1603136346463,1603136346451,39,1603136346451,0.7402366
1603136346463,1603136346456,40,1603136346456,0.3788344
1603136346471,1603136346461,41,1603136346461,0.25043595
1603136346471,1603136346466,42,1603136346466,0.0011088346
1603136346476,1603136346470,43,1603136346470,0.40077737
1603136346482,1603136346476,44,1603136346476,0.74618864
1603136346488,1603136346482,45,1603136346482,0.081880584
1603136346494,1603136346486,46,1603136346486,0.14000511
1603136346500,1603136346491,47,1603136346491,0.86249876
1603136346508,1603136346496,48,1603136346496,0.14638445
1603136346508,1603136346501,49,1603136346501,0.028086796
1603136346514,1603136346506,50,1603136346506,0.0042920546
1603136346514,1603136346510,51,1603136346510,0.3744149
1603136346520,1603136346516,52,1603136346516,0.6045775
1603136346525,1603136346521,53,1603136346521,0.86310226
1603136346530,1603136346526,54,1603136346526,0.72730637
1603136346536,1603136346531,55,1603136346531,0.33625075
1603136346542,1603136346536,56,1603136346536,0.12446711
1603136346547,1603136346541,57,1603136346541,0.24813506
1603136346551,1603136346546,58,1603136346546,0.9022648
1603136346555,1603136346550,59,1603136346550,0.39006802
1603136346560,1603136346556,60,1603136346556,0.058340833
1603136346565,1603136346561,61,1603136346561,0.58764505
1603136346570,1603136346566,62,1603136346566,0.2536892
1603136346575,1603136346571,63,1603136346571,0.45574692
1603136346580,1603136346576,64,1603136346576,0.8539966
1603136346585,1603136346581,65,1603136346581,0.26473165
1603136346591,1603136346586,66,1603136346586,0.13347876
1603136346596,1603136346590,67,1603136346590,0.45058936
1603136346698,1603136346596,68,1603136346596,0.98448145
1603136346698,1603136346601,69,1603136346601,0.0825088
1603136346698,1603136346606,70,1603136346606,0.9722746
1603136346698,1603136346611,71,1603136346611,0.86397207
1603136346698,1603136346616,72,1603136346616,0.5863124
1603136346698,1603136346621,73,1603136346621,0.80944645
1603136346698,1603136346626,74,1603136346626,0.80211467
1603136346698,1603136346630,75,1603136346630,0.319893
1603136346698,1603136346636,76,1603136346636,0.83282036
1603136346698,1603136346641,77,1603136346641,0.82919747
1603136346698,1603136346646,78,1603136346646,0.23297745
1603136346698,1603136346651,79,1603136346651,0.7534176
1603136346698,1603136346656,80,1603136346656,0.35148653
1603136346698,1603136346661,81,1603136346661,0.029218191
1603136346698,1603136346666,82,1603136346666,0.8136649
1603136346698,1603136346671,83,1603136346671,0.85144687
1603136346698,1603136346675,84,1603136346675,0.05761559
1603136346698,1603136346681,85,1603136346681,0.22752902
1603136346698,1603136346686,86,1603136346686,0.5365769
1603136346698,1603136346691,87,1603136346691,0.96389127
1603136346705,1603136346696,88,1603136346696,0.6214176
1603136346710,1603136346701,89,1603136346701,0.6332515
1603136346715,1603136346706,90,1603136346706,0.3562806
1603136346715,1603136346711,91,1603136346711,0.77825147
1603136346720,1603136346715,92,1603136346715,0.41154647
1603136346726,1603136346721,93,1603136346721,0.06409656
1603136346730,1603136346726,94,1603136346726,0.9833794
1603136346736,1603136346731,95,1603136346731,0.6687669
1603136346747,1603136346736,96,1603136346736,0.16536957
1603136346753,1603136346741,97,1603136346741,0.9027684
1603136346753,1603136346746,98,1603136346746,0.8880393
1603136346761,1603136346751,99,1603136346751,0.7807121
1603136346767,1603136346755,100,1603136346755,0.8247202
1603136346773,1603136346761,101,1603136346761,0.064286605
1603136346773,1603136346766,102,1603136346766,0.40162966
1603136346780,1603136346771,103,1603136346771,0.5910803
1603136346799,1603136346776,104,1603136346776,0.94561
1603136346799,1603136346781,105,1603136346781,0.5675197
1603136346799,1603136346786,106,1603136346786,0.04028901
1603136346808,1603136346791,107,1603136346791,0.8988104
1603136346808,1603136346795,108,1603136346795,0.84135634
1603136346808,1603136346801,109,1603136346801,0.6567604
1603136346820,1603136346806,110,1603136346806,0.69082695
1603136346826,1603136346811,111,1603136346811,0.9408777
1603136346826,1603136346816,112,1603136346816,0.15080503
1603136346826,1603136346821,113,1603136346821,0.8029634
1603136346832,1603136346826,114,1603136346826,0.09722526
1603136346848,1603136346831,115,1603136346831,0.6049807
